,date,time,call_id,agent_id,answer_time_minute,answer_time_second,talk_time_minute,talk_time_second,escalation,abandoned_num,abandoned,csat,csat_value
1,1/9/2022,4:53 PM,2186,212,1,43,26,54,FALSE,0,FALSE,FALSE,
1,1/9/2022,2:09 PM,3563,211,2,43,51,4,FALSE,0,FALSE,TRUE,0
1,1/9/2022,7:11 AM,1049,210,3,45,37,7,FALSE,0,FALSE,FALSE,
1,1/9/2022,4:25 PM,1051,212,3,6,43,44,FALSE,0,FALSE,TRUE,4
1,1/9/2022,1:52 PM,3059,216,3,37,33,50,FALSE,0,FALSE,TRUE,0
1,1/9/2022,8:27 AM,3061,211,3,50,5,19,FALSE,0,FALSE,TRUE,0
1,1/9/2022,1:46 PM,1050,216,4,24,32,29,FALSE,0,FALSE,FALSE,
1,1/9/2022,3:30 PM,1048,210,3,44,33,53,FALSE,0,FALSE,FALSE,
1,1/9/2022,9:30 AM,3062,216,4,40,52,57,FALSE,0,FALSE,TRUE,0
1,1/9/2022,11:09 AM,3060,213,3,19,41,14,FALSE,0,FALSE,FALSE,
1,1/16/2022,3:43 PM,1107,212,2,50,48,31,FALSE,0,FALSE,FALSE,
1,1/16/2022,10:26 AM,3118,213,2,55,26,33,FALSE,0,FALSE,FALSE,
1,1/16/2022,12:36 PM,3570,210,2,10,26,44,FALSE,0,FALSE,FALSE,
1,1/16/2022,8:28 AM,2190,210,2,3,31,28,FALSE,0,FALSE,FALSE,
1,1/16/2022,9:52 AM,3115,213,3,9,23,23,FALSE,0,FALSE,TRUE,0
1,1/16/2022,8:05 AM,3119,216,3,58,59,30,FALSE,0,FALSE,TRUE,0
1,1/16/2022,9:59 AM,1106,210,4,33,10,48,FALSE,0,FALSE,FALSE,
1,1/16/2022,11:43 AM,1108,214,1,29,30,1,FALSE,0,FALSE,TRUE,1
1,1/16/2022,2:55 PM,1104,216,4,36,2,56,FALSE,0,FALSE,FALSE,
1,1/16/2022,5:12 PM,1105,214,3,35,19,42,FALSE,0,FALSE,FALSE,
1,1/16/2022,1:08 PM,3117,213,2,5,47,37,FALSE,0,FALSE,TRUE,0
1,1/16/2022,1:28 PM,3116,212,0,34,16,58,FALSE,0,FALSE,TRUE,0
1,1/23/2022,1:52 PM,3184,210,1,12,33,19,FALSE,0,FALSE,FALSE,
1,1/23/2022,2:04 PM,3183,216,2,12,42,11,FALSE,0,FALSE,FALSE,
1,1/23/2022,2:48 PM,1566,213,3,7,34,32,FALSE,0,FALSE,TRUE,5
1,1/23/2022,6:01 PM,1170,210,3,40,3,21,FALSE,0,FALSE,FALSE,
1,1/23/2022,10:26 AM,3181,213,3,5,35,26,FALSE,0,FALSE,FALSE,
1,1/23/2022,12:57 PM,2197,211,3,32,15,31,FALSE,0,FALSE,TRUE,1
1,1/23/2022,12:20 PM,1171,210,4,37,20,14,FALSE,0,FALSE,TRUE,1
1,1/23/2022,5:55 PM,1173,210,3,58,0,0,FALSE,1,TRUE,FALSE,
1,1/23/2022,9:19 AM,3182,216,4,57,23,15,FALSE,0,FALSE,FALSE,
1,1/23/2022,1:17 PM,1172,211,3,7,18,20,FALSE,0,FALSE,TRUE,4
1,1/30/2022,10:07 AM,1225,212,2,39,47,16,FALSE,0,FALSE,TRUE,3
1,1/30/2022,2:27 PM,3238,213,2,17,29,7,FALSE,0,FALSE,FALSE,
1,1/30/2022,1:06 PM,1223,210,2,43,51,43,FALSE,0,FALSE,TRUE,2
1,1/30/2022,10:07 AM,3234,211,2,11,23,4,FALSE,0,FALSE,FALSE,
1,1/30/2022,6:49 PM,3235,213,3,21,15,47,FALSE,0,FALSE,TRUE,0
1,1/30/2022,7:20 AM,3576,214,3,26,42,16,FALSE,0,FALSE,FALSE,
1,1/30/2022,11:56 AM,4200,216,4,20,0,0,FALSE,1,TRUE,FALSE,
1,1/30/2022,9:25 AM,1221,211,1,59,49,23,FALSE,0,FALSE,TRUE,3
1,1/30/2022,1:21 PM,1224,211,4,30,9,29,FALSE,0,FALSE,TRUE,3
1,1/30/2022,7:33 AM,3236,216,3,44,45,10,FALSE,0,FALSE,FALSE,
1,1/30/2022,7:19 AM,3233,210,2,33,22,43,FALSE,0,FALSE,FALSE,
1,1/30/2022,7:50 AM,1226,214,0,36,8,8,FALSE,0,FALSE,TRUE,5
1,1/30/2022,4:48 PM,3232,211,7,19,34,34,FALSE,0,FALSE,TRUE,0
1,1/30/2022,10:16 AM,1222,212,1,31,1,2,FALSE,0,FALSE,FALSE,
1,1/30/2022,12:29 PM,1227,212,2,50,0,0,FALSE,1,TRUE,FALSE,
1,1/30/2022,4:48 PM,3237,210,3,3,33,39,FALSE,0,FALSE,FALSE,
1,2/6/2022,10:47 AM,1282,212,3,10,35,51,FALSE,0,FALSE,TRUE,3
1,2/6/2022,7:58 AM,1284,210,3,47,56,59,FALSE,0,FALSE,TRUE,4
1,2/6/2022,2:12 PM,1283,210,3,51,0,0,FALSE,1,TRUE,FALSE,
1,2/6/2022,10:46 AM,3295,216,4,0,22,51,FALSE,0,FALSE,FALSE,
1,2/6/2022,6:46 PM,3296,210,3,50,27,54,FALSE,0,FALSE,TRUE,0
1,2/6/2022,8:22 AM,3297,216,4,17,42,52,FALSE,0,FALSE,FALSE,
1,2/6/2022,5:24 PM,1285,211,3,3,30,17,FALSE,0,FALSE,TRUE,2
1,2/6/2022,2:30 PM,1288,211,2,48,23,4,FALSE,0,FALSE,FALSE,
1,2/6/2022,2:58 PM,3294,213,2,12,17,12,FALSE,0,FALSE,FALSE,
1,2/6/2022,10:12 AM,2199,214,2,48,58,44,FALSE,0,FALSE,FALSE,
1,2/6/2022,1:03 PM,3293,213,2,29,36,40,FALSE,0,FALSE,FALSE,
1,2/6/2022,6:11 PM,1572,212,3,21,8,45,FALSE,0,FALSE,TRUE,4
1,2/6/2022,10:53 AM,3299,210,3,0,53,39,FALSE,0,FALSE,TRUE,0
1,2/6/2022,6:09 PM,1286,211,4,47,8,9,FALSE,0,FALSE,FALSE,
1,2/6/2022,4:23 PM,1287,214,1,43,15,32,FALSE,0,FALSE,TRUE,1
1,2/6/2022,4:32 PM,3298,210,4,46,26,52,FALSE,0,FALSE,TRUE,0
1,2/6/2022,8:12 AM,2069,213,3,36,22,41,FALSE,0,FALSE,TRUE,1
1,2/13/2022,2:17 PM,3346,213,2,40,6,53,FALSE,0,FALSE,TRUE,0
1,2/13/2022,3:00 PM,1337,213,0,16,43,22,FALSE,0,FALSE,TRUE,1
1,2/13/2022,6:50 PM,3348,216,3,59,45,27,FALSE,0,FALSE,FALSE,
1,2/13/2022,3:03 PM,3350,210,3,35,43,59,FALSE,0,FALSE,FALSE,
1,2/13/2022,7:22 AM,4208,214,3,12,4,21,FALSE,0,FALSE,TRUE,0
1,2/13/2022,8:23 AM,3345,216,4,2,29,50,FALSE,0,FALSE,TRUE,0
1,2/13/2022,6:37 PM,3349,214,5,49,35,18,FALSE,0,FALSE,TRUE,0
1,2/13/2022,8:02 AM,1335,214,6,22,12,40,FALSE,0,FALSE,TRUE,2
1,2/13/2022,12:28 PM,1339,214,1,10,20,52,FALSE,0,FALSE,TRUE,2
1,2/13/2022,1:39 PM,3347,216,2,48,39,45,FALSE,0,FALSE,FALSE,
1,2/13/2022,8:58 AM,1579,214,3,34,0,0,FALSE,1,TRUE,FALSE,
1,2/13/2022,9:34 AM,1334,213,3,5,29,34,FALSE,0,FALSE,TRUE,2
1,2/13/2022,8:50 AM,1336,213,3,46,44,54,FALSE,0,FALSE,FALSE,
1,2/13/2022,12:23 PM,1338,211,3,51,7,17,FALSE,0,FALSE,FALSE,
1,2/13/2022,1:44 PM,4072,212,4,49,18,38,FALSE,0,FALSE,FALSE,
1,2/20/2022,8:21 AM,1400,212,3,1,37,46,FALSE,0,FALSE,TRUE,5
1,2/20/2022,11:47 AM,1403,212,4,32,21,53,FALSE,0,FALSE,FALSE,
1,2/20/2022,11:18 AM,1402,216,3,35,55,53,FALSE,0,FALSE,FALSE,
